variant,best_val_loss,final_train_loss,final_val_loss,final_val_ppl,amax_fwd_final,amax_fwd_max,amax_fwd_mean,amax_bwd_final,amax_bwd_max,amax_bwd_mean,iter_num,elapsed_s,peak_vram_gb,avg_attn_entropy,residual_norm_final,hc_grad_norm_pre_clip
baseline,1.7295332193374633,1.6918944120407104,1.7597617387771607,5.811052680929635,1.0,1.0,1.0,1.0,1.0,1.0,8000,10858.041253089905,19.001659393310547,0.0,0.0,nan
hc,1.041620489358902,0.9469083324074745,1.041620489358902,2.8338054471665197,1.0,1.0,1.0,1.0,1.0,1.0,8000,30833.39562177658,23.371784687042236,4.473638976613681,374.09637451171875,nan
mhc,1.0377310085296632,0.9437413550913334,1.0377310085296632,2.82280482243365,1.0,1.2019424438476562,1.0,1.0,1.2019424438476562,1.0,8000,46442.71321892738,26.580929279327393,4.293185581763585,552.6329345703125,nan
