iter,train_loss,val_loss,grad_norm_post_clip,grad_norm_pre_clip,grad_norm_hc,grad_norm_base,lr,amax_fwd_max,amax_bwd_max,h_res_row_sum_max_dev,avg_attn_entropy,residual_norm_final
1.0,12.093581199645996,nan,5.59375,5.59375,0.0213623046875,5.59375,7.499999999999999e-07,1.0,1.0,0.0,0.0,0.0
10.0,12.057114601135254,nan,5.40625,5.40625,0.021484375,5.40625,7.499999999999999e-06,1.0,1.0,0.0,0.0,0.0
20.0,11.690973281860352,nan,6.875,6.875,0.033447265625,6.875,1.4999999999999999e-05,1.0,1.0,0.0,0.0,0.0
30.0,10.638561248779297,nan,4.5,4.5,0.019287109375,4.5,2.2499999999999998e-05,1.0,1.0,0.0,0.0,0.0
40.0,10.074824333190918,nan,3.078125,3.078125,0.0186767578125,3.078125,2.9999999999999997e-05,1.0,1.0,0.0,0.0,0.0
50.0,9.691221237182617,nan,2.890625,2.890625,0.01373291015625,2.890625,3.75e-05,1.0,1.0,0.0,0.0,0.0
60.0,9.310142040252686,nan,2.71875,2.71875,0.03662109375,2.71875,4.4999999999999996e-05,1.0,1.0,0.0,0.0,0.0
70.0,8.73231291770935,nan,2.65625,2.65625,0.0198974609375,2.65625,5.2499999999999995e-05,1.0,1.0,0.0,0.0,0.0
80.0,8.137211084365845,nan,3.046875,3.046875,0.05615234375,3.03125,5.9999999999999995e-05,1.0,1.0,0.0,0.0,0.0
90.0,7.405148476362228,nan,5.46875,5.46875,0.095703125,5.46875,6.749999999999999e-05,1.0,1.0,0.0,0.0,0.0
100.0,6.6739988923072815,nan,2.25,2.25,0.10986328125,2.25,7.5e-05,1.0,1.0,0.0,0.0,0.0
110.0,5.925241619348526,nan,3.34375,3.34375,0.126953125,3.34375,8.249999999999999e-05,1.0,1.0,0.0,0.0,0.0
120.0,5.3666185438632965,nan,1.828125,1.828125,0.07373046875,1.828125,8.999999999999999e-05,1.0,1.0,0.0,0.0,0.0
130.0,4.998004853725433,nan,2.09375,2.09375,0.1337890625,2.09375,9.75e-05,1.0,1.0,0.0,0.0,0.0
140.0,4.773220330476761,nan,1.4375,1.4375,0.0927734375,1.4375,0.00010499999999999999,1.0,1.0,0.0,0.0,0.0
