iter,train_loss,val_loss,grad_norm_post_clip,grad_norm_pre_clip,grad_norm_hc,grad_norm_base,lr,amax_fwd_max,amax_bwd_max,h_res_row_sum_max_dev,avg_attn_entropy,residual_norm_final
1.0,12.093525886535645,nan,5.5625,5.5625,0.1357421875,5.5625,7.499999999999999e-07,1.0,1.0,0.0,0.0,0.0
10.0,12.057111740112305,nan,5.375,5.375,0.142578125,5.375,7.499999999999999e-06,1.0,1.0,0.0,0.0,0.0
20.0,11.69096565246582,nan,6.90625,6.90625,0.298828125,6.90625,1.4999999999999999e-05,1.0,1.0,0.0,0.0,0.0
30.0,10.641271591186523,nan,4.53125,4.53125,0.69921875,4.46875,2.2499999999999998e-05,1.0,1.0,0.0,0.0,0.0
40.0,10.06492304801941,nan,3.09375,3.09375,0.384765625,3.078125,2.9999999999999997e-05,1.0,1.0,0.0,0.0,0.0
50.0,9.694185256958008,nan,2.90625,2.90625,0.201171875,2.890625,3.75e-05,1.0,1.0,0.0,0.0,0.0
60.0,9.316284418106079,nan,2.71875,2.71875,0.10400390625,2.71875,4.4999999999999996e-05,1.0,1.0,0.0,0.0,0.0
70.0,8.744096994400024,nan,2.703125,2.703125,0.08837890625,2.703125,5.2499999999999995e-05,1.0,1.0,0.0,0.0,0.0
80.0,8.184160232543945,nan,2.875,2.875,0.220703125,2.859375,5.9999999999999995e-05,1.0,1.0,0.0,0.0,0.0
90.0,7.3408719301223755,nan,4.3125,4.3125,0.1416015625,4.3125,6.749999999999999e-05,1.0,1.0,0.0,0.0,0.0
100.0,6.523508280515671,nan,2.421875,2.421875,0.28125,2.40625,7.5e-05,1.0,1.0,0.0,0.0,0.0
110.0,5.868487387895584,nan,2.390625,2.390625,0.1953125,2.390625,8.249999999999999e-05,1.0,1.0,0.0,0.0,0.0
120.0,5.331140577793121,nan,1.4140625,1.4140625,0.10009765625,1.4140625,8.999999999999999e-05,1.0,1.0,0.0,0.0,0.0
130.0,4.98326700925827,nan,2.515625,2.515625,0.2734375,2.5,9.75e-05,1.0,1.0,0.0,0.0,0.0
140.0,4.731361627578735,nan,1.3046875,1.3046875,0.1376953125,1.296875,0.00010499999999999999,1.0,1.0,0.0,0.0,0.0
150.0,4.431132972240448,nan,1.703125,1.703125,0.16796875,1.6953125,0.0001125,1.0,1.0,0.0,0.0,0.0
160.0,4.148172944784164,nan,1.4140625,1.4140625,0.130859375,1.4140625,0.00011999999999999999,1.0,1.0,0.0,0.0,0.0
170.0,3.9532956033945084,nan,1.5859375,1.5859375,0.15234375,1.578125,0.00012749999999999998,1.0,1.0,0.0,0.0,0.0
180.0,3.8091673254966736,nan,2.25,2.25,0.248046875,2.234375,0.00013499999999999997,1.0,1.0,0.0,0.0,0.0
190.0,3.639973521232605,nan,1.828125,1.828125,0.1298828125,1.828125,0.0001425,1.0,1.0,0.0,0.0,0.0
200.0,3.5871763825416565,nan,2.703125,2.703125,0.1494140625,2.703125,0.00015,1.0,1.0,0.0,0.0,0.0
210.0,3.3482223004102707,nan,2.984375,2.984375,0.232421875,2.984375,0.0001575,1.0,1.0,0.0,0.0,0.0
220.0,3.2670768797397614,nan,1.484375,1.484375,0.13671875,1.484375,0.00016499999999999997,1.0,1.0,0.0,0.0,0.0
230.0,3.164766386151314,nan,2.59375,2.59375,0.244140625,2.59375,0.0001725,1.0,1.0,0.0,0.0,0.0
240.0,3.1298632621765137,nan,2.3125,2.3125,0.2216796875,2.296875,0.00017999999999999998,1.0,1.0,0.0,0.0,0.0
250.0,3.0547212809324265,nan,2.25,2.25,0.1123046875,2.234375,0.0001875,1.0,1.0,0.0,0.0,0.0
260.0,2.977411910891533,nan,2.96875,2.96875,0.2021484375,2.96875,0.000195,1.0,1.0,0.0,0.0,0.0
270.0,2.9186068922281265,nan,2.171875,2.171875,0.267578125,2.15625,0.00020249999999999996,1.0,1.0,0.0,0.0,0.0
280.0,2.8260142356157303,nan,1.4609375,1.4609375,0.1484375,1.453125,0.00020999999999999998,1.0,1.0,0.0,0.0,0.0
290.0,2.7266425788402557,nan,2.34375,2.34375,0.2265625,2.328125,0.00021749999999999997,1.0,1.0,0.0,0.0,0.0
300.0,2.7484681606292725,nan,2.3125,2.3125,0.2197265625,2.3125,0.000225,1.0,1.0,0.0,0.0,0.0
310.0,2.6967110335826874,nan,1.890625,1.890625,0.25,1.875,0.00023249999999999996,1.0,1.0,0.0,0.0,0.0
320.0,2.605367675423622,nan,1.4453125,1.4453125,0.28125,1.421875,0.00023999999999999998,1.0,1.0,0.0,0.0,0.0
330.0,2.570064216852188,nan,1.6171875,1.6171875,0.181640625,1.609375,0.0002475,1.0,1.0,0.0,0.0,0.0
340.0,2.5256509482860565,nan,1.40625,1.40625,0.203125,1.390625,0.00025499999999999996,1.0,1.0,0.0,0.0,0.0
350.0,2.492523968219757,nan,1.1171875,1.1171875,0.1162109375,1.109375,0.0002625,1.0,1.0,0.0,0.0,0.0
360.0,2.4120954871177673,nan,1.25,1.25,0.1904296875,1.2421875,0.00026999999999999995,1.0,1.0,0.0,0.0,0.0
370.0,2.4455581605434418,nan,0.890625,0.890625,0.134765625,0.87890625,0.00027749999999999997,1.0,1.0,0.0,0.0,0.0
380.0,2.39523184299469,nan,1.09375,1.09375,0.1064453125,1.09375,0.000285,1.0,1.0,0.0,0.0,0.0
390.0,2.3305975794792175,nan,0.8984375,0.8984375,0.17578125,0.87890625,0.0002925,1.0,1.0,0.0,0.0,0.0
400.0,2.2797834426164627,nan,1.3125,1.3125,0.2314453125,1.296875,0.0003,1.0,1.0,0.0,0.0,0.0
410.0,2.239916682243347,nan,0.91796875,0.91796875,0.10546875,0.9140625,0.00030749999999999994,1.0,1.0,0.0,0.0,0.0
420.0,2.255476176738739,nan,0.98046875,0.98046875,0.1572265625,0.96484375,0.000315,1.0,1.0,0.0,0.0,0.0
